room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6363811,27012473,Entire home/apt,SOUTH,CHINOOK PARK,25,5,2,1,76,2,50.983282,-114.090363,38:49.5
11962853,61960460,Entire home/apt,CENTRE,SUNNYSIDE,0,,5,3,489,3,51.05955,-114.072518,38:41.6
4165484,21301776,Private room,CENTRE,BANFF TRAIL,8,4.5,1,1,36,2,51.078505,-114.118545,38:35.8
12507948,64056982,Entire home/apt,NORTHWEST,BRENTWOOD,3,5,4,2,79,1,51.086969,-114.121203,38:33.0
13141472,2504979,Entire home/apt,CENTRE,BELTLINE,1,,4,2,359,3,51.04235,-114.056531,38:29.6
3638550,3297275,Private room,NORTHEAST,MARLBOROUGH,11,5,2,1,36,1,51.059909,-113.969994,38:27.2
14593060,90508163,Entire home/apt,CENTRE,KILLARNEY/GLENGARRY,0,,12,4,224,2,51.028476,-114.140624,38:26.4
8151873,43038085,Private room,CENTRE,CLIFF BUNGALOW,9,5,2,1,40,2,51.03612,-114.072212,38:10.0
14625068,89143408,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,4,2,96,1,51.048427,-114.082433,38:06.0
13496705,77396823,Private room,SOUTH,CANYON MEADOWS,2,,2,1,52,1,50.938793,-114.079139,38:04.2
5941924,25815823,Entire home/apt,SOUTH,WILLOW PARK,3,4.5,10,5,127,6,50.959251,-114.068544,37:59.8
5364360,27808758,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,15,5,6,2,88,2,51.050515,-114.044439,37:56.5
13744551,23317867,Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,2,1,47,1,51.048477,-114.079179,37:53.9
6883745,36069573,Private room,CENTRE,BELTLINE,10,4.5,2,1,47,1,51.042585,-114.086913,37:49.1
7584896,1996683,Private room,CENTRE,ST. ANDREWS HEIGHTS,17,5,2,1,56,1,51.064054,-114.11977,37:48.4
14655315,23274515,Entire home/apt,CENTRE,ST. ANDREWS HEIGHTS,0,,2,2,53,7,51.062828,-114.129243,37:45.6
11822258,62971237,Shared room,CENTRE,BELTLINE,4,5,1,1,40,1,51.040615,-114.092476,37:42.8
5685695,29184576,Private room,WEST,GLAMORGAN,32,5,2,1,35,1,51.018897,-114.14312,37:39.3
11696842,61144437,Private room,SOUTH,SILVERADO,2,,4,1,79,1,50.882611,-114.084239,37:36.4
7130393,37346541,Private room,CENTRE,BELTLINE,0,,2,1,160,2,51.039752,-114.064968,37:33.6
